id,username,email,password,contact_number,address
1,Shalu,s.shaluss@gmail.com,shalu@123,9746419193,1Stage Btm 3maruthinager madiwala 
2,Deenu,deenu@gmail.com,deenu@123,9146419193,2Stage Btm 3maruthinager madiwala 
3,Nivin,nivin@gmail.com,nivin@123,9246419193,3Stage Btm 3maruthinager madiwala 
4,Rahul,rahul@gmail.com,rahul@123,9346419193,4Stage Btm 3maruthinager madiwala 
5,Arun,arun@gmail.com,arun@123,9446419193,5Stage Btm 3maruthinager madiwala 
6,Akhil,akhil@gmail.com,akhil@123,9546419193,6Stage Btm 3maruthinager madiwala 
7,Abhi,abhi@gmail.com,abhi@123,9646419193,7Stage Btm 3maruthinager madiwala 
8,Anu,anu@gmail.com,anu@123,9046419193,8Stage Btm 3maruthinager madiwala 
9,Aneesh,aneesh@gmail.com,aneesh@123,9846419193,9Stage Btm 3maruthinager madiwala 
10,shalu.s,ss.shalu@gmail.com,shalu@123,9746419192,adress11
